DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
COFFEE & CRUMBS,MANHATTAN,330,WEST 38TH STREET,10018,"330 WEST 38TH STREET, MANHATTAN, NY 10018",American,12/23/2016,Proper sanitization not provided for utensil ware washing operation.,Not Critical,9,A,12/23/2016
LOEWS REGENCY BAR AND GRILL,MANHATTAN,540,PARK AVE,10065,"540 PARK AVE, MANHATTAN, NY 10065",American,3/12/2019,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,13,A,3/12/2019
RATHBONES PUB,MANHATTAN,1702,2 AVENUE,10128,"1702 2 AVENUE, MANHATTAN, NY 10128",American,12/8/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,12/8/2015
LENWICH,MANHATTAN,613,9TH AVE,10036,"613 9TH AVE, MANHATTAN, NY 10036",American,6/27/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,6/27/2018
XI'AN FAMOUS FOOD,MANHATTAN,37,W 54TH ST,10019,"37 W 54TH ST, MANHATTAN, NY 10019",Chinese,11/29/2017,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,11/29/2017
PEARL,MANHATTAN,18,CORNELIA STREET,10014,"18 CORNELIA STREET, MANHATTAN, NY 10014",Seafood,7/16/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,7/16/2018
RECOLTE,MANHATTAN,300,AMSTERDAM AVE,10023,"300 AMSTERDAM AVE, MANHATTAN, NY 10023",Bakery,1/29/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,1/29/2019
ALIN SUSHI II,MANHATTAN,55-59,CHRYSTIE STREET,10002,"55-59 CHRYSTIE STREET, MANHATTAN, NY 10002",Asian,4/3/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,4/3/2018
FINANCIER PATISSERIE,MANHATTAN,15,VANDERBILT AVENUE,10017,"15 VANDERBILT AVENUE, MANHATTAN, NY 10017",American,4/8/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,4/8/2016
PALETTE,MANHATTAN,754,5 AVENUE,10019,"754 5 AVENUE, MANHATTAN, NY 10019",American,12/20/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,12/20/2016
CAFE SELECT,MANHATTAN,212,LAFAYETTE STREET,10012,"212 LAFAYETTE STREET, MANHATTAN, NY 10012",Eastern European,4/18/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,23,B,4/18/2016
SAVOUR SICHUAN,MANHATTAN,108,W 39TH ST,10018,"108 W 39TH ST, MANHATTAN, NY 10018",Chinese,9/12/2016,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,36,C,9/12/2016
PADTHAI NOODLE LOUNGE,MANHATTAN,114,8 AVENUE,10011,"114 8 AVENUE, MANHATTAN, NY 10011",Thai,10/9/2018,Thawing procedures improper.,Not Critical,12,A,10/9/2018
SLATTERY'S MIDTOWN PUB,MANHATTAN,8,EAST   36 STREET,10016,"8 EAST   36 STREET, MANHATTAN, NY 10016",American,8/14/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,8/14/2018
LINCOLN RISTORANTE,MANHATTAN,142,WEST   65 STREET,10023,"142 WEST   65 STREET, MANHATTAN, NY 10023",Italian,2/16/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2/16/2018
EMPIRE GARDEN,MANHATTAN,911,COLUMBUS AVE,10025,"911 COLUMBUS AVE, MANHATTAN, NY 10025",Chinese,12/7/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,12/7/2017
PANDA  EXPRESS # 2792,MANHATTAN,2852,BROADWAY,10025,"2852 BROADWAY, MANHATTAN, NY 10025",Chinese,3/19/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,3/19/2018
MANCORA BAR & APNA MASALA INDIAN CUISINE,MANHATTAN,344,E 6TH ST,10003,"344 E 6TH ST, MANHATTAN, NY 10003",Indian,5/3/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,5/3/2017
MIDPOINT BISTRO,MANHATTAN,40,W 45TH ST,10036,"40 W 45TH ST, MANHATTAN, NY 10036",American,3/21/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26,B,3/21/2017
Bistro Pierre Lapin,MANHATTAN,99,BANK ST,10014,"99 BANK ST, MANHATTAN, NY 10014",French,1/11/2019,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,37,Not Yet Graded,
CAPPONE'S SALUMERIA,MANHATTAN,1,NEW YORK PLZ,10004,"1 NEW YORK PLZ, MANHATTAN, NY 10004",Sandwiches,7/18/2016,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,7/18/2016
KEY BAR,MANHATTAN,432,EAST   13 STREET,10009,"432 EAST   13 STREET, MANHATTAN, NY 10009",American,5/19/2016,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,10,A,5/19/2016
ECUATORIANA RESTAURANT,MANHATTAN,16851687,AMSTERDAM AVENUE,,"16851687 AMSTERDAM AVENUE, MANHATTAN, NY ",Spanish,9/28/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,9/28/2017
SIMPLY BAKERY,MANHATTAN,70,BAYARD STREET,10013,"70 BAYARD STREET, MANHATTAN, NY 10013",Bakery,9/12/2018,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,29,C,9/12/2018
TREADWELL PARK / BLACK HOUND,MANHATTAN,301,SOUTH END AVENUE,10280,"301 SOUTH END AVENUE, MANHATTAN, NY 10280",Mexican,4/17/2015,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,4/17/2015
LEVAIN BAKERY,MANHATTAN,2167,FREDERICK DOUGLAS BOULEVARD,10026,"2167 FREDERICK DOUGLAS BOULEVARD, MANHATTAN, NY 10026",Bakery,6/21/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,6/21/2016
HARRIET'S KITCHEN,MANHATTAN,502,AMSTERDAM AVENUE,10024,"502 AMSTERDAM AVENUE, MANHATTAN, NY 10024",American,11/9/2017,Live roaches present in facility's food and/or non-food areas.,Critical,13,A,11/9/2017
"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,55,WEST   55 STREET,10019,"55 WEST   55 STREET, MANHATTAN, NY 10019",Donuts,12/7/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,12/7/2018
KISS MY SLICE PIZZA,MANHATTAN,401,E 57TH ST,10022,"401 E 57TH ST, MANHATTAN, NY 10022",Pizza,9/12/2017,Proper sanitization not provided for utensil ware washing operation.,Not Critical,15,B,9/12/2017
COOPER'S CRAFT & KITCHEN,MANHATTAN,87,2 AVENUE,10003,"87 2 AVENUE, MANHATTAN, NY 10003",American,1/9/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,1/9/2019
J J NOODLE,MANHATTAN,19,HENRY STREET,10002,"19 HENRY STREET, MANHATTAN, NY 10002",Chinese,7/21/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,20,B,7/21/2017
WASABI SUSHI & BENTO,MANHATTAN,200,BROADWAY,10038,"200 BROADWAY, MANHATTAN, NY 10038",Asian,3/29/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,3/29/2016
THE BOILER ROOM,MANHATTAN,86,EAST    4 STREET,10003,"86 EAST    4 STREET, MANHATTAN, NY 10003",American,12/9/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/9/2015
DUNKIN' DONUTS,MANHATTAN,111,WEST  110 STREET,10026,"111 WEST  110 STREET, MANHATTAN, NY 10026",American,7/3/2017,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,13,A,7/3/2017
OATMEALS,MANHATTAN,120,W 3RD ST,10012,"120 W 3RD ST, MANHATTAN, NY 10012",American,12/21/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,P,12/21/2017
CHIPOTLE MEXICAN GRILL,MANHATTAN,200,VARICK STREET,10014,"200 VARICK STREET, MANHATTAN, NY 10014",Tex-Mex,6/21/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,6/21/2017
HAPPY HOT HUNAN RESTAURANT,MANHATTAN,969,AMSTERDAM AVE,10025,"969 AMSTERDAM AVE, MANHATTAN, NY 10025",Chinese,4/7/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,C,4/7/2016
BOCCA BLISS,MANHATTAN,725,3RD AVE,10017,"725 3RD AVE, MANHATTAN, NY 10017",American,9/21/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,28,C,9/21/2016
MASAWA,MANHATTAN,1239,AMSTERDAM AVENUE,10027,"1239 AMSTERDAM AVENUE, MANHATTAN, NY 10027",Ethiopian,9/14/2016,Thawing procedures improper.,Not Critical,11,A,9/14/2016
LEON BAKERY,MANHATTAN,695,9 AVENUE,10036,"695 9 AVENUE, MANHATTAN, NY 10036",Bakery,4/14/2017,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,4/14/2017
BUS STOP CAFE,MANHATTAN,597,HUDSON STREET,10014,"597 HUDSON STREET, MANHATTAN, NY 10014",American,8/10/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/10/2016
MATRYOSHKA (SPA 88),MANHATTAN,88,FULTON STREET,10038,"88 FULTON STREET, MANHATTAN, NY 10038",Russian,11/19/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,P,11/19/2018
THE EGGETTES HOUSE/KUNG FU TEA,MANHATTAN,315,GREENWICH ST,10013,"315 GREENWICH ST, MANHATTAN, NY 10013",CafÃ©/Coffee/Tea,8/30/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,8/30/2016
PARIS BAGUETTE,MANHATTAN,264,1ST AVE,10009,"264 1ST AVE, MANHATTAN, NY 10009",Bakery,1/25/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,1/25/2019
POTBELLY SANDWICH WORKS,MANHATTAN,46,WEST   56 STREET,10019,"46 WEST   56 STREET, MANHATTAN, NY 10019",Sandwiches/Salads/Mixed Buffet,1/10/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,1/10/2018
CHIPOTLE MEXICAN GRILL,MANHATTAN,150,EAST   52 STREET,10022,"150 EAST   52 STREET, MANHATTAN, NY 10022",Mexican,9/14/2017,Hot food item not held at or above 140Âº F.,Critical,17,B,9/14/2017
SOLE BISTRO ITALIANO,MANHATTAN,2014,BROADWAY,10023,"2014 BROADWAY, MANHATTAN, NY 10023",Italian,12/9/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,12/9/2015
SNAX SPOT,MANHATTAN,534,9TH AVE,10018,"534 9TH AVE, MANHATTAN, NY 10018",American,1/2/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,1/2/2018
HONG KONG NOODLES,MANHATTAN,174,LEXINGTON AVE,10016,"174 LEXINGTON AVE, MANHATTAN, NY 10016",Chinese/Japanese,11/20/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,B,11/20/2017
DESI GALLI,MANHATTAN,101,LEXINGTON AVE,10016,"101 LEXINGTON AVE, MANHATTAN, NY 10016",Indian,10/10/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24,B,10/10/2017
FRAMES BOWLING LOUNGE,MANHATTAN,625,8 AVENUE,10018,"625 8 AVENUE, MANHATTAN, NY 10018",American,7/18/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,7/18/2017
THE DRAFT HOUSE,MANHATTAN,3473,BROADWAY,10031,"3473 BROADWAY, MANHATTAN, NY 10031",American,7/28/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,7/28/2016
COPPELIA CUBAN LUNCHEONETTE,MANHATTAN,207,WEST   14 STREET,10011,"207 WEST   14 STREET, MANHATTAN, NY 10011","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/8/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,12/8/2016
PURE GREEN,MANHATTAN,60,E 8TH ST,10003,"60 E 8TH ST, MANHATTAN, NY 10003","Juice, Smoothies, Fruit Salads",8/31/2017,Food contact surface not properly maintained.,Not Critical,8,A,8/31/2017
BARCADE,MANHATTAN,6,SAINT MARKS PL,10003,"6 SAINT MARKS PL, MANHATTAN, NY 10003",American,9/8/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,9/8/2016
NAGLE BAKERY,MANHATTAN,121B,NAGLE AVENUE,10040,"121B NAGLE AVENUE, MANHATTAN, NY 10040",Bakery,3/20/2018,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,3/20/2018
COTENNA,MANHATTAN,21,BEDFORD ST,10014,"21 BEDFORD ST, MANHATTAN, NY 10014",Italian,4/12/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,4/12/2017
IFH EL BUFFET RESTAURANT  ALBERTO'S MOFONGO HOUSE,MANHATTAN,217,DYCKMAN STREET,10040,"217 DYCKMAN STREET, MANHATTAN, NY 10040","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/18/2017,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,11,A,12/18/2017
THE SEA FIRE GRILL,MANHATTAN,160,EAST   48 STREET,10017,"160 EAST   48 STREET, MANHATTAN, NY 10017",American,2/2/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,2/2/2017
LA VILLETTA,MANHATTAN,398,E 52ND ST,10022,"398 E 52ND ST, MANHATTAN, NY 10022",Italian,12/5/2018,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,13,A,12/5/2018
CHIPOTLE MEXICAN GRILL,MANHATTAN,235,WEST   56 STREET,10019,"235 WEST   56 STREET, MANHATTAN, NY 10019",Mexican,3/14/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,3/14/2019
MAKE MY CAKE,MANHATTAN,775,COLUMBUS AVE,10025,"775 COLUMBUS AVE, MANHATTAN, NY 10025",Bakery,10/30/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,10/30/2018
ROAST KITCHEN,MANHATTAN,870,BROADWAY,10003,"870 BROADWAY, MANHATTAN, NY 10003",American,2/21/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,2/21/2018
SUBWAY,MANHATTAN,873,7 AVENUE,10019,"873 7 AVENUE, MANHATTAN, NY 10019",Sandwiches,4/23/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,A,4/23/2018
ROSSINI'S,MANHATTAN,108,EAST   38 STREET,10016,"108 EAST   38 STREET, MANHATTAN, NY 10016",Italian,2/26/2019,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,2/26/2019
KONEKO,MANHATTAN,26,CLINTON ST,10002,"26 CLINTON ST, MANHATTAN, NY 10002",Japanese,4/5/2017,Hot food item not held at or above 140Âº F.,Critical,12,A,4/5/2017
NEW SAU VOI,MANHATTAN,101105,LAFAYETTE STREET,,"101105 LAFAYETTE STREET, MANHATTAN, NY ",Sandwiches,3/27/2019,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,3/27/2019
AUGUST GATHERINGS,MANHATTAN,266,CANAL ST,10013,"266 CANAL ST, MANHATTAN, NY 10013",Chinese,5/26/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,5/26/2016
DUNHILL CAFE,MANHATTAN,109,WEST   45 STREET,10036,"109 WEST   45 STREET, MANHATTAN, NY 10036",American,1/13/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,1/13/2017
RESERVIOR,MANHATTAN,70,UNIVERSITY PL,10003,"70 UNIVERSITY PL, MANHATTAN, NY 10003",American,6/12/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,27,B,6/12/2018
GOTHAM PIZZA,MANHATTAN,144,9 AVENUE,10011,"144 9 AVENUE, MANHATTAN, NY 10011",Pizza,12/18/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,12/18/2017
JUNIOR'S TACOS,MANHATTAN,253257,SHERMAN AVENUE,,"253257 SHERMAN AVENUE, MANHATTAN, NY ",Mexican,6/17/2015,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,6/17/2015
ROUTE 66 AMERICAN BBQ,MANHATTAN,79,PEARL ST,10004,"79 PEARL ST, MANHATTAN, NY 10004",American,1/18/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,1/18/2019
HELLCAT ANNIE'S TAP ROOM,MANHATTAN,637,10 AVENUE,10036,"637 10 AVENUE, MANHATTAN, NY 10036",American,3/23/2017,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,3/23/2017
CHOP'T,MANHATTAN,120,WEST   56 STREET,10019,"120 WEST   56 STREET, MANHATTAN, NY 10019",Salads,12/12/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,12/12/2018
CAFE PETISCO,MANHATTAN,189,EAST BROADWAY,10002,"189 EAST BROADWAY, MANHATTAN, NY 10002",Mediterranean,9/6/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,9/6/2016
BAR 9,MANHATTAN,807,9TH AVE,10019,"807 9TH AVE, MANHATTAN, NY 10019",American,2/8/2017,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,2/8/2017
SILK ROAD CAFE,MANHATTAN,30,MOTT ST,10013,"30 MOTT ST, MANHATTAN, NY 10013",CafÃ©/Coffee/Tea,11/21/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,11/21/2017
INTERCONTINENTAL NEW YORK TIMES SQUARE/TODD ENGLISH THE STINGER,MANHATTAN,306,WEST   44 STREET,10036,"306 WEST   44 STREET, MANHATTAN, NY 10036",French,7/5/2018,''''Wash hands sign not posted at hand wash facility.,Not Critical,12,A,7/5/2018
DUNKIN' DONUTS,MANHATTAN,19,RECTOR STREET,10006,"19 RECTOR STREET, MANHATTAN, NY 10006",Donuts,2/16/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,2/16/2018
GRAND SICHUAN,MANHATTAN,229,9TH AVE,10001,"229 9TH AVE, MANHATTAN, NY 10001",Chinese,6/29/2016,Hot food item not held at or above 140Âº F.,Critical,28,C,6/29/2016
READY TO EAT,MANHATTAN,525,HUDSON STREET,10014,"525 HUDSON STREET, MANHATTAN, NY 10014",American,8/11/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,45,C,8/11/2017
CHINATOWN RESTAURANT,MANHATTAN,1650,3RD AVE,10128,"1650 3RD AVE, MANHATTAN, NY 10128",Asian,4/3/2018,Hot food item not held at or above 140Âº F.,Critical,49,C,4/3/2018
The Empire Rooftop,MANHATTAN,44,W 63RD ST,10023,"44 W 63RD ST, MANHATTAN, NY 10023",American,8/13/2018,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,B,8/13/2018
DUNKIN' DONUTS/HUDSON NEWS,MANHATTAN,625,8TH AVE,10018,"625 8TH AVE, MANHATTAN, NY 10018",Donuts,8/9/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,8/9/2017
MISS LILY'S,MANHATTAN,132,WEST HOUSTON STREET,10012,"132 WEST HOUSTON STREET, MANHATTAN, NY 10012",Caribbean,1/18/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,1/18/2018
"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,360,WEST   31 STREET,10001,"360 WEST   31 STREET, MANHATTAN, NY 10001",Donuts,10/26/2015,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,10/26/2015
FARMSTAND BOOTH 8,MANHATTAN,230,PARK AVE,10169,"230 PARK AVE, MANHATTAN, NY 10169",Salads,1/25/2019,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,1/25/2019
MISO-YA,MANHATTAN,129,2 AVENUE,10003,"129 2 AVENUE, MANHATTAN, NY 10003",Japanese,2/5/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,2/5/2018
TASTE TACO HOUSE,MANHATTAN,178,CHURCH ST,10013,"178 CHURCH ST, MANHATTAN, NY 10013",Chinese,1/4/2019,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,B,1/4/2019
GARDEN CAFE,MANHATTAN,4961,BROADWAY,10034,"4961 BROADWAY, MANHATTAN, NY 10034",Armenian,10/16/2018,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,8,A,10/16/2018
BLUE,MANHATTAN,856,9TH AVE,10019,"856 9TH AVE, MANHATTAN, NY 10019",Mediterranean,9/20/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,9/20/2018
NANO,MANHATTAN,691,TENTH AVE,10036,"691 TENTH AVE, MANHATTAN, NY 10036","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/27/2017,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,11/27/2017
THE MEATBALL SHOP,MANHATTAN,84,STANTON STREET,10002,"84 STANTON STREET, MANHATTAN, NY 10002",Italian,4/13/2016,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,11,A,4/13/2016
GENA'S GRILL,MANHATTAN,210,1 AVENUE,10009,"210 1 AVENUE, MANHATTAN, NY 10009","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/10/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,8/10/2018
BAREBURGER,MANHATTAN,153,8 AVENUE,10011,"153 8 AVENUE, MANHATTAN, NY 10011",American,11/22/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,11/22/2016
LITE DELITE CAFE (EQUINOX),MANHATTAN,2465,BROADWAY,10025,"2465 BROADWAY, MANHATTAN, NY 10025",American,9/27/2016,Hot food item not held at or above 140Âº F.,Critical,12,A,9/27/2016
